# E (eV)   ldos(E)   pdos(E)   
   1.835  0.438E-01  0.438E-01
   1.885  0.518E-01  0.518E-01
   1.935  0.552E-01  0.552E-01
   1.985  0.526E-01  0.526E-01
   2.035  0.471E-01  0.471E-01
   2.085  0.427E-01  0.427E-01
   2.135  0.414E-01  0.414E-01
   2.185  0.430E-01  0.430E-01
   2.235  0.455E-01  0.455E-01
   2.285  0.465E-01  0.465E-01
   2.335  0.463E-01  0.463E-01
   2.385  0.472E-01  0.472E-01
   2.435  0.513E-01  0.513E-01
   2.485  0.569E-01  0.569E-01
   2.535  0.605E-01  0.605E-01
   2.585  0.607E-01  0.607E-01
   2.635  0.587E-01  0.587E-01
   2.685  0.558E-01  0.558E-01
   2.735  0.515E-01  0.515E-01
   2.785  0.463E-01  0.463E-01
   2.835  0.424E-01  0.424E-01
   2.885  0.420E-01  0.420E-01
   2.935  0.446E-01  0.446E-01
   2.985  0.472E-01  0.472E-01
   3.035  0.468E-01  0.468E-01
   3.085  0.430E-01  0.430E-01
   3.135  0.388E-01  0.388E-01
   3.185  0.384E-01  0.384E-01
   3.235  0.436E-01  0.436E-01
   3.285  0.514E-01  0.514E-01
   3.335  0.570E-01  0.570E-01
   3.385  0.570E-01  0.570E-01
   3.435  0.518E-01  0.518E-01
   3.485  0.442E-01  0.442E-01
   3.535  0.370E-01  0.370E-01
   3.585  0.316E-01  0.316E-01
   3.635  0.284E-01  0.284E-01
   3.685  0.276E-01  0.276E-01
   3.735  0.290E-01  0.290E-01
   3.785  0.307E-01  0.307E-01
   3.835  0.308E-01  0.308E-01
   3.885  0.290E-01  0.290E-01
   3.935  0.276E-01  0.276E-01
   3.985  0.290E-01  0.290E-01
   4.035  0.331E-01  0.331E-01
   4.085  0.372E-01  0.372E-01
   4.135  0.382E-01  0.382E-01
   4.185  0.353E-01  0.353E-01
   4.235  0.300E-01  0.300E-01
   4.285  0.247E-01  0.247E-01
   4.335  0.204E-01  0.204E-01
   4.385  0.172E-01  0.172E-01
   4.435  0.151E-01  0.151E-01
   4.485  0.144E-01  0.144E-01
   4.535  0.152E-01  0.152E-01
   4.585  0.166E-01  0.166E-01
   4.635  0.176E-01  0.176E-01
   4.685  0.173E-01  0.173E-01
   4.735  0.159E-01  0.159E-01
   4.785  0.145E-01  0.145E-01
   4.835  0.141E-01  0.141E-01
   4.885  0.146E-01  0.146E-01
   4.935  0.148E-01  0.148E-01
   4.985  0.137E-01  0.137E-01
   5.035  0.118E-01  0.118E-01
   5.085  0.101E-01  0.101E-01
   5.135  0.925E-02  0.925E-02
   5.185  0.846E-02  0.846E-02
