# E (eV)   ldos(E)   pdos(E)    pdos(E)    pdos(E)   
  14.585  0.335E+00  0.112E+00  0.112E+00  0.112E+00
  14.635  0.286E+00  0.954E-01  0.954E-01  0.954E-01
  14.685  0.223E+00  0.742E-01  0.742E-01  0.742E-01
  14.735  0.168E+00  0.559E-01  0.559E-01  0.559E-01
  14.785  0.128E+00  0.426E-01  0.426E-01  0.426E-01
  14.835  0.995E-01  0.332E-01  0.332E-01  0.332E-01
  14.885  0.811E-01  0.270E-01  0.270E-01  0.270E-01
  14.935  0.743E-01  0.248E-01  0.248E-01  0.248E-01
  14.985  0.782E-01  0.261E-01  0.261E-01  0.261E-01
  15.035  0.883E-01  0.294E-01  0.294E-01  0.294E-01
  15.085  0.993E-01  0.331E-01  0.331E-01  0.331E-01
  15.135  0.108E+00  0.359E-01  0.359E-01  0.359E-01
  15.185  0.113E+00  0.376E-01  0.376E-01  0.376E-01
  15.235  0.116E+00  0.386E-01  0.386E-01  0.386E-01
  15.285  0.121E+00  0.405E-01  0.405E-01  0.405E-01
  15.335  0.132E+00  0.439E-01  0.439E-01  0.439E-01
  15.385  0.142E+00  0.474E-01  0.474E-01  0.474E-01
  15.435  0.147E+00  0.490E-01  0.490E-01  0.490E-01
  15.485  0.146E+00  0.486E-01  0.486E-01  0.486E-01
  15.535  0.144E+00  0.480E-01  0.480E-01  0.480E-01
  15.585  0.144E+00  0.481E-01  0.481E-01  0.481E-01
  15.635  0.146E+00  0.487E-01  0.487E-01  0.487E-01
  15.685  0.147E+00  0.490E-01  0.490E-01  0.490E-01
  15.735  0.147E+00  0.491E-01  0.491E-01  0.491E-01
  15.785  0.147E+00  0.491E-01  0.491E-01  0.491E-01
  15.835  0.143E+00  0.476E-01  0.476E-01  0.476E-01
  15.885  0.129E+00  0.431E-01  0.431E-01  0.431E-01
  15.935  0.108E+00  0.360E-01  0.360E-01  0.360E-01
  15.985  0.864E-01  0.288E-01  0.288E-01  0.288E-01
  16.035  0.737E-01  0.246E-01  0.246E-01  0.246E-01
  16.085  0.746E-01  0.249E-01  0.249E-01  0.249E-01
  16.135  0.864E-01  0.288E-01  0.288E-01  0.288E-01
  16.185  0.101E+00  0.335E-01  0.335E-01  0.335E-01
  16.235  0.108E+00  0.361E-01  0.361E-01  0.361E-01
  16.285  0.108E+00  0.361E-01  0.361E-01  0.361E-01
  16.335  0.104E+00  0.348E-01  0.348E-01  0.348E-01
  16.385  0.993E-01  0.331E-01  0.331E-01  0.331E-01
  16.435  0.914E-01  0.305E-01  0.305E-01  0.305E-01
  16.485  0.785E-01  0.262E-01  0.262E-01  0.262E-01
  16.535  0.646E-01  0.215E-01  0.215E-01  0.215E-01
  16.585  0.577E-01  0.192E-01  0.192E-01  0.192E-01
  16.635  0.627E-01  0.209E-01  0.209E-01  0.209E-01
  16.685  0.762E-01  0.254E-01  0.254E-01  0.254E-01
  16.735  0.888E-01  0.296E-01  0.296E-01  0.296E-01
  16.785  0.929E-01  0.310E-01  0.310E-01  0.310E-01
  16.835  0.881E-01  0.294E-01  0.294E-01  0.294E-01
  16.885  0.803E-01  0.268E-01  0.268E-01  0.268E-01
  16.935  0.761E-01  0.254E-01  0.254E-01  0.254E-01
  16.985  0.785E-01  0.262E-01  0.262E-01  0.262E-01
  17.035  0.871E-01  0.290E-01  0.290E-01  0.290E-01
  17.085  0.100E+00  0.333E-01  0.333E-01  0.333E-01
  17.135  0.113E+00  0.375E-01  0.375E-01  0.375E-01
  17.185  0.119E+00  0.396E-01  0.396E-01  0.396E-01
  17.235  0.116E+00  0.386E-01  0.386E-01  0.386E-01
  17.285  0.106E+00  0.354E-01  0.354E-01  0.354E-01
  17.335  0.951E-01  0.317E-01  0.317E-01  0.317E-01
  17.385  0.864E-01  0.288E-01  0.288E-01  0.288E-01
  17.435  0.803E-01  0.268E-01  0.268E-01  0.268E-01
  17.485  0.769E-01  0.256E-01  0.256E-01  0.256E-01
  17.535  0.782E-01  0.261E-01  0.261E-01  0.261E-01
  17.585  0.854E-01  0.285E-01  0.285E-01  0.285E-01
  17.635  0.952E-01  0.317E-01  0.317E-01  0.317E-01
  17.685  0.102E+00  0.339E-01  0.339E-01  0.339E-01
  17.735  0.101E+00  0.335E-01  0.335E-01  0.335E-01
  17.785  0.920E-01  0.307E-01  0.307E-01  0.307E-01
  17.835  0.784E-01  0.261E-01  0.261E-01  0.261E-01
  17.885  0.625E-01  0.208E-01  0.208E-01  0.208E-01
  17.935  0.482E-01  0.161E-01  0.161E-01  0.161E-01
  17.985  0.393E-01  0.131E-01  0.131E-01  0.131E-01
  18.035  0.379E-01  0.126E-01  0.126E-01  0.126E-01
  18.085  0.436E-01  0.145E-01  0.145E-01  0.145E-01
  18.135  0.530E-01  0.177E-01  0.177E-01  0.177E-01
  18.185  0.625E-01  0.208E-01  0.208E-01  0.208E-01
  18.235  0.705E-01  0.235E-01  0.235E-01  0.235E-01
  18.285  0.771E-01  0.257E-01  0.257E-01  0.257E-01
  18.335  0.823E-01  0.274E-01  0.274E-01  0.274E-01
  18.385  0.848E-01  0.283E-01  0.283E-01  0.283E-01
  18.435  0.829E-01  0.276E-01  0.276E-01  0.276E-01
  18.485  0.765E-01  0.255E-01  0.255E-01  0.255E-01
  18.535  0.685E-01  0.228E-01  0.228E-01  0.228E-01
  18.585  0.627E-01  0.209E-01  0.209E-01  0.209E-01
  18.635  0.599E-01  0.200E-01  0.200E-01  0.200E-01
  18.685  0.568E-01  0.189E-01  0.189E-01  0.189E-01
  18.735  0.508E-01  0.169E-01  0.169E-01  0.169E-01
  18.785  0.437E-01  0.146E-01  0.146E-01  0.146E-01
  18.835  0.397E-01  0.132E-01  0.132E-01  0.132E-01
  18.885  0.415E-01  0.138E-01  0.138E-01  0.138E-01
  18.935  0.487E-01  0.162E-01  0.162E-01  0.162E-01
  18.985  0.601E-01  0.200E-01  0.200E-01  0.200E-01
  19.035  0.735E-01  0.245E-01  0.245E-01  0.245E-01
  19.085  0.848E-01  0.283E-01  0.283E-01  0.283E-01
  19.135  0.886E-01  0.295E-01  0.295E-01  0.295E-01
  19.185  0.837E-01  0.279E-01  0.279E-01  0.279E-01
  19.235  0.747E-01  0.249E-01  0.249E-01  0.249E-01
  19.285  0.671E-01  0.224E-01  0.224E-01  0.224E-01
  19.335  0.623E-01  0.208E-01  0.208E-01  0.208E-01
  19.385  0.582E-01  0.194E-01  0.194E-01  0.194E-01
  19.435  0.523E-01  0.174E-01  0.174E-01  0.174E-01
  19.485  0.448E-01  0.149E-01  0.149E-01  0.149E-01
  19.535  0.378E-01  0.126E-01  0.126E-01  0.126E-01
  19.585  0.334E-01  0.111E-01  0.111E-01  0.111E-01
  19.635  0.323E-01  0.108E-01  0.108E-01  0.108E-01
  19.685  0.341E-01  0.114E-01  0.114E-01  0.114E-01
  19.735  0.368E-01  0.123E-01  0.123E-01  0.123E-01
  19.785  0.376E-01  0.125E-01  0.125E-01  0.125E-01
  19.835  0.349E-01  0.116E-01  0.116E-01  0.116E-01
  19.885  0.288E-01  0.959E-02  0.959E-02  0.959E-02
  19.935  0.211E-01  0.703E-02  0.703E-02  0.703E-02
  19.985  0.145E-01  0.484E-02  0.484E-02  0.484E-02
  20.035  0.110E-01  0.368E-02  0.368E-02  0.368E-02
