# E (eV)   ldos(E)   pdos(E)    pdos(E)    pdos(E)   
  -1.515  0.387E-01  0.129E-01  0.129E-01  0.129E-01
  -1.465  0.358E-01  0.119E-01  0.119E-01  0.119E-01
  -1.415  0.299E-01  0.997E-02  0.997E-02  0.997E-02
  -1.365  0.244E-01  0.814E-02  0.814E-02  0.814E-02
  -1.315  0.228E-01  0.760E-02  0.760E-02  0.760E-02
  -1.265  0.284E-01  0.947E-02  0.947E-02  0.947E-02
  -1.215  0.445E-01  0.148E-01  0.148E-01  0.148E-01
  -1.165  0.703E-01  0.234E-01  0.234E-01  0.234E-01
  -1.115  0.964E-01  0.321E-01  0.321E-01  0.321E-01
  -1.065  0.109E+00  0.364E-01  0.364E-01  0.364E-01
  -1.015  0.104E+00  0.347E-01  0.347E-01  0.347E-01
  -0.965  0.899E-01  0.300E-01  0.300E-01  0.300E-01
  -0.915  0.821E-01  0.274E-01  0.274E-01  0.274E-01
  -0.865  0.954E-01  0.318E-01  0.318E-01  0.318E-01
  -0.815  0.139E+00  0.462E-01  0.462E-01  0.462E-01
  -0.765  0.209E+00  0.697E-01  0.697E-01  0.697E-01
  -0.715  0.289E+00  0.962E-01  0.962E-01  0.962E-01
  -0.665  0.354E+00  0.118E+00  0.118E+00  0.118E+00
  -0.615  0.389E+00  0.130E+00  0.130E+00  0.130E+00
  -0.565  0.391E+00  0.130E+00  0.130E+00  0.130E+00
  -0.515  0.371E+00  0.124E+00  0.124E+00  0.124E+00
  -0.465  0.339E+00  0.113E+00  0.113E+00  0.113E+00
  -0.415  0.305E+00  0.102E+00  0.102E+00  0.102E+00
  -0.365  0.277E+00  0.924E-01  0.924E-01  0.924E-01
  -0.315  0.256E+00  0.854E-01  0.854E-01  0.854E-01
  -0.265  0.241E+00  0.803E-01  0.803E-01  0.803E-01
  -0.215  0.228E+00  0.760E-01  0.760E-01  0.760E-01
  -0.165  0.213E+00  0.712E-01  0.712E-01  0.712E-01
  -0.115  0.196E+00  0.654E-01  0.654E-01  0.654E-01
  -0.065  0.182E+00  0.606E-01  0.606E-01  0.606E-01
  -0.015  0.178E+00  0.593E-01  0.593E-01  0.593E-01
   0.035  0.183E+00  0.609E-01  0.609E-01  0.609E-01
   0.085  0.183E+00  0.609E-01  0.609E-01  0.609E-01
   0.135  0.168E+00  0.560E-01  0.560E-01  0.560E-01
   0.185  0.146E+00  0.486E-01  0.486E-01  0.486E-01
   0.235  0.134E+00  0.445E-01  0.445E-01  0.445E-01
   0.285  0.138E+00  0.459E-01  0.459E-01  0.459E-01
   0.335  0.147E+00  0.492E-01  0.492E-01  0.492E-01
   0.385  0.149E+00  0.496E-01  0.496E-01  0.496E-01
   0.435  0.139E+00  0.462E-01  0.462E-01  0.462E-01
   0.485  0.128E+00  0.425E-01  0.425E-01  0.425E-01
   0.535  0.125E+00  0.417E-01  0.417E-01  0.417E-01
   0.585  0.129E+00  0.430E-01  0.430E-01  0.430E-01
   0.635  0.128E+00  0.427E-01  0.427E-01  0.427E-01
   0.685  0.118E+00  0.394E-01  0.394E-01  0.394E-01
   0.735  0.106E+00  0.355E-01  0.355E-01  0.355E-01
   0.785  0.103E+00  0.342E-01  0.342E-01  0.342E-01
   0.835  0.107E+00  0.357E-01  0.357E-01  0.357E-01
   0.885  0.111E+00  0.371E-01  0.371E-01  0.371E-01
   0.935  0.106E+00  0.353E-01  0.353E-01  0.353E-01
   0.985  0.922E-01  0.307E-01  0.307E-01  0.307E-01
   1.035  0.813E-01  0.271E-01  0.271E-01  0.271E-01
   1.085  0.837E-01  0.279E-01  0.279E-01  0.279E-01
   1.135  0.989E-01  0.330E-01  0.330E-01  0.330E-01
   1.185  0.114E+00  0.382E-01  0.382E-01  0.382E-01
   1.235  0.117E+00  0.389E-01  0.389E-01  0.389E-01
   1.285  0.101E+00  0.338E-01  0.338E-01  0.338E-01
   1.335  0.777E-01  0.259E-01  0.259E-01  0.259E-01
   1.385  0.601E-01  0.200E-01  0.200E-01  0.200E-01
   1.435  0.573E-01  0.191E-01  0.191E-01  0.191E-01
   1.485  0.681E-01  0.227E-01  0.227E-01  0.227E-01
   1.535  0.825E-01  0.275E-01  0.275E-01  0.275E-01
   1.585  0.898E-01  0.299E-01  0.299E-01  0.299E-01
   1.635  0.874E-01  0.291E-01  0.291E-01  0.291E-01
   1.685  0.852E-01  0.284E-01  0.284E-01  0.284E-01
   1.735  0.990E-01  0.330E-01  0.330E-01  0.330E-01
   1.785  0.140E+00  0.467E-01  0.467E-01  0.467E-01
   1.835  0.207E+00  0.691E-01  0.691E-01  0.691E-01
   1.885  0.287E+00  0.956E-01  0.956E-01  0.956E-01
   1.935  0.359E+00  0.120E+00  0.120E+00  0.120E+00
   1.985  0.411E+00  0.137E+00  0.137E+00  0.137E+00
   2.035  0.443E+00  0.148E+00  0.148E+00  0.148E+00
   2.085  0.464E+00  0.155E+00  0.155E+00  0.155E+00
   2.135  0.481E+00  0.160E+00  0.160E+00  0.160E+00
   2.185  0.497E+00  0.166E+00  0.166E+00  0.166E+00
   2.235  0.513E+00  0.171E+00  0.171E+00  0.171E+00
   2.285  0.521E+00  0.174E+00  0.174E+00  0.174E+00
   2.335  0.511E+00  0.170E+00  0.170E+00  0.170E+00
   2.385  0.486E+00  0.162E+00  0.162E+00  0.162E+00
   2.435  0.459E+00  0.153E+00  0.153E+00  0.153E+00
   2.485  0.437E+00  0.146E+00  0.146E+00  0.146E+00
   2.535  0.422E+00  0.141E+00  0.141E+00  0.141E+00
   2.585  0.420E+00  0.140E+00  0.140E+00  0.140E+00
   2.635  0.445E+00  0.148E+00  0.148E+00  0.148E+00
   2.685  0.491E+00  0.164E+00  0.164E+00  0.164E+00
   2.735  0.528E+00  0.176E+00  0.176E+00  0.176E+00
   2.785  0.532E+00  0.177E+00  0.177E+00  0.177E+00
   2.835  0.510E+00  0.170E+00  0.170E+00  0.170E+00
   2.885  0.485E+00  0.162E+00  0.162E+00  0.162E+00
   2.935  0.465E+00  0.155E+00  0.155E+00  0.155E+00
   2.985  0.451E+00  0.150E+00  0.150E+00  0.150E+00
   3.035  0.448E+00  0.149E+00  0.149E+00  0.149E+00
   3.085  0.467E+00  0.156E+00  0.156E+00  0.156E+00
   3.135  0.514E+00  0.171E+00  0.171E+00  0.171E+00
   3.185  0.584E+00  0.195E+00  0.195E+00  0.195E+00
   3.235  0.653E+00  0.218E+00  0.218E+00  0.218E+00
   3.285  0.697E+00  0.232E+00  0.232E+00  0.232E+00
   3.335  0.708E+00  0.236E+00  0.236E+00  0.236E+00
   3.385  0.699E+00  0.233E+00  0.233E+00  0.233E+00
   3.435  0.684E+00  0.228E+00  0.228E+00  0.228E+00
   3.485  0.675E+00  0.225E+00  0.225E+00  0.225E+00
   3.535  0.676E+00  0.225E+00  0.225E+00  0.225E+00
   3.585  0.688E+00  0.229E+00  0.229E+00  0.229E+00
   3.635  0.698E+00  0.233E+00  0.233E+00  0.233E+00
   3.685  0.698E+00  0.233E+00  0.233E+00  0.233E+00
   3.735  0.682E+00  0.227E+00  0.227E+00  0.227E+00
   3.785  0.648E+00  0.216E+00  0.216E+00  0.216E+00
   3.835  0.603E+00  0.201E+00  0.201E+00  0.201E+00
   3.885  0.572E+00  0.191E+00  0.191E+00  0.191E+00
   3.935  0.582E+00  0.194E+00  0.194E+00  0.194E+00
   3.985  0.639E+00  0.213E+00  0.213E+00  0.213E+00
   4.035  0.712E+00  0.237E+00  0.237E+00  0.237E+00
   4.085  0.753E+00  0.251E+00  0.251E+00  0.251E+00
   4.135  0.735E+00  0.245E+00  0.245E+00  0.245E+00
   4.185  0.674E+00  0.225E+00  0.225E+00  0.225E+00
   4.235  0.609E+00  0.203E+00  0.203E+00  0.203E+00
   4.285  0.563E+00  0.188E+00  0.188E+00  0.188E+00
   4.335  0.541E+00  0.180E+00  0.180E+00  0.180E+00
   4.385  0.537E+00  0.179E+00  0.179E+00  0.179E+00
   4.435  0.548E+00  0.183E+00  0.183E+00  0.183E+00
   4.485  0.568E+00  0.189E+00  0.189E+00  0.189E+00
   4.535  0.589E+00  0.196E+00  0.196E+00  0.196E+00
   4.585  0.606E+00  0.202E+00  0.202E+00  0.202E+00
   4.635  0.610E+00  0.203E+00  0.203E+00  0.203E+00
   4.685  0.599E+00  0.200E+00  0.200E+00  0.200E+00
   4.735  0.571E+00  0.190E+00  0.190E+00  0.190E+00
   4.785  0.538E+00  0.179E+00  0.179E+00  0.179E+00
   4.835  0.523E+00  0.174E+00  0.174E+00  0.174E+00
   4.885  0.528E+00  0.176E+00  0.176E+00  0.176E+00
   4.935  0.532E+00  0.177E+00  0.177E+00  0.177E+00
   4.985  0.509E+00  0.170E+00  0.170E+00  0.170E+00
   5.035  0.466E+00  0.155E+00  0.155E+00  0.155E+00
   5.085  0.429E+00  0.143E+00  0.143E+00  0.143E+00
   5.135  0.407E+00  0.136E+00  0.136E+00  0.136E+00
   5.185  0.381E+00  0.127E+00  0.127E+00  0.127E+00
   5.235  0.339E+00  0.113E+00  0.113E+00  0.113E+00
   5.285  0.294E+00  0.980E-01  0.980E-01  0.980E-01
   5.335  0.262E+00  0.873E-01  0.873E-01  0.873E-01
   5.385  0.245E+00  0.816E-01  0.816E-01  0.816E-01
   5.435  0.229E+00  0.764E-01  0.764E-01  0.764E-01
   5.485  0.208E+00  0.693E-01  0.693E-01  0.693E-01
   5.535  0.189E+00  0.631E-01  0.631E-01  0.631E-01
   5.585  0.185E+00  0.617E-01  0.617E-01  0.617E-01
   5.635  0.192E+00  0.639E-01  0.639E-01  0.639E-01
   5.685  0.194E+00  0.646E-01  0.646E-01  0.646E-01
   5.735  0.181E+00  0.605E-01  0.605E-01  0.605E-01
   5.785  0.158E+00  0.527E-01  0.527E-01  0.527E-01
   5.835  0.133E+00  0.445E-01  0.445E-01  0.445E-01
   5.885  0.113E+00  0.377E-01  0.377E-01  0.377E-01
   5.935  0.963E-01  0.321E-01  0.321E-01  0.321E-01
   5.985  0.810E-01  0.270E-01  0.270E-01  0.270E-01
   6.035  0.669E-01  0.223E-01  0.223E-01  0.223E-01
   6.085  0.549E-01  0.183E-01  0.183E-01  0.183E-01
   6.135  0.440E-01  0.147E-01  0.147E-01  0.147E-01
   6.185  0.326E-01  0.109E-01  0.109E-01  0.109E-01
