# Time-averaged data for fix rdfavg
# TimeStep Number-of-rows
# Row c_rdf1[1] c_rdf1[2] c_rdf1[3]
1000 100
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0.000513893 8.78906e-05
37 0.9125 0.0125576 0.00235352
38 0.9375 0.0975628 0.0209277
39 0.9625 0.382766 0.0977246
40 0.9875 0.873456 0.282197
41 1.0125 1.47657 0.61001
42 1.0375 1.96843 1.06891
43 1.0625 2.28359 1.62718
44 1.0875 2.38632 2.23836
45 1.1125 2.33644 2.86458
46 1.1375 2.19028 3.47832
47 1.1625 2.0329 4.07326
48 1.1875 1.84869 4.6378
49 1.2125 1.67878 5.17225
50 1.2375 1.5233 5.67741
51 1.2625 1.38328 6.15487
52 1.2875 1.26565 6.60914
53 1.3125 1.15673 7.04062
54 1.3375 1.0705 7.45531
55 1.3625 1.00005 7.85729
56 1.3875 0.944975 8.25119
57 1.4125 0.886992 8.63439
58 1.4375 0.859271 9.01892
59 1.4625 0.81143 9.39475
60 1.4875 0.787516 9.7721
61 1.5125 0.765561 10.1514
62 1.5375 0.762531 10.5417
63 1.5625 0.748374 10.9374
64 1.5875 0.74452 11.3437
65 1.6125 0.739926 11.7603
66 1.6375 0.745813 12.1934
67 1.6625 0.743075 12.6382
68 1.6875 0.758672 13.106
69 1.7125 0.776242 13.599
70 1.7375 0.787511 14.1139
71 1.7625 0.809062 14.6581
72 1.7875 0.841503 15.2404
73 1.8125 0.862251 15.8538
74 1.8375 0.89047 16.5049
75 1.8625 0.929119 17.2028
76 1.8875 0.959515 17.9431
77 1.9125 0.993262 18.7298
78 1.9375 1.03473 19.5709
79 1.9625 1.05769 20.4531
80 1.9875 1.08892 21.3846
81 2.0125 1.1133 22.361
82 2.0375 1.13184 23.3786
83 2.0625 1.14699 24.4352
84 2.0875 1.15006 25.5204
85 2.1125 1.16283 26.6441
86 2.1375 1.16226 27.794
87 2.1625 1.15442 28.9631
88 2.1875 1.13917 30.1435
89 2.2125 1.13276 31.3443
90 2.2375 1.10551 32.5428
91 2.2625 1.09511 33.7567
92 2.2875 1.06909 34.968
93 2.3125 1.05273 36.1871
94 2.3375 1.02998 37.4057
95 2.3625 1.01283 38.6298
96 2.3875 0.995349 39.8585
97 2.4125 0.984219 41.0989
98 2.4375 0.965947 42.3417
99 2.4625 0.957385 43.5989
100 2.4875 0.945522 44.8658
4000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0.000397443 6.83594e-05
37 0.9125 0.0126679 0.00237305
38 0.9375 0.101365 0.0218359
39 0.9625 0.37485 0.0976953
40 0.9875 0.88032 0.285225
41 1.0125 1.47556 0.615654
42 1.0375 1.98471 1.08233
43 1.0625 2.29528 1.64835
44 1.0875 2.38838 2.26536
45 1.1125 2.35483 2.90199
46 1.1375 2.20487 3.52517
47 1.1625 2.0406 4.12754
48 1.1875 1.86015 4.70052
49 1.2125 1.67808 5.2394
50 1.2375 1.5186 5.74739
51 1.2625 1.37512 6.22615
52 1.2875 1.25393 6.68019
53 1.3125 1.15057 7.11314
54 1.3375 1.06725 7.5302
55 1.3625 1.0003 7.93582
56 1.3875 0.944526 8.33302
57 1.4125 0.885995 8.71916
58 1.4375 0.852801 9.10408
59 1.4625 0.811454 9.4832
60 1.4875 0.789183 9.86463
61 1.5125 0.761347 10.2451
62 1.5375 0.753688 10.6342
63 1.5625 0.743355 11.0306
64 1.5875 0.725436 11.43
65 1.6125 0.731353 11.8453
66 1.6375 0.740402 12.279
67 1.6625 0.740333 12.7259
68 1.6875 0.757911 13.1974
69 1.7125 0.773093 13.6926
70 1.7375 0.788011 14.2122
71 1.7625 0.816735 14.7664
72 1.7875 0.838977 15.352
73 1.8125 0.87088 15.9769
74 1.8375 0.902647 16.6426
75 1.8625 0.92734 17.3453
76 1.8875 0.967568 18.0982
77 1.9125 0.989311 18.8886
78 1.9375 1.02956 19.7329
79 1.9625 1.05222 20.6181
80 1.9875 1.07631 21.5467
81 2.0125 1.10655 22.5257
82 2.0375 1.13167 23.5519
83 2.0625 1.14628 24.617
84 2.0875 1.15582 25.7172
85 2.1125 1.16868 26.8564
86 2.1375 1.16102 28.0151
87 2.1625 1.15278 29.1927
88 2.1875 1.14361 30.388
89 2.2125 1.13154 31.5979
90 2.2375 1.11449 32.8167
91 2.2625 1.0958 34.0419
92 2.2875 1.07592 35.2717
93 2.3125 1.0513 36.4996
94 2.3375 1.03092 37.73
95 2.3625 1.01307 38.9651
96 2.3875 0.999925 40.2101
97 2.4125 0.978046 41.4535
98 2.4375 0.965277 42.7062
99 2.4625 0.951255 43.9662
100 2.4875 0.942001 45.2393
5000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
