z,rho_benzene,rho_ethanol,rho_copper,n_benzene,n_ethanol
39.125000,0.017671,0.004782,0.000000,0.000002,0.000000
39.375000,0.005132,0.001565,0.000000,0.000000,0.000000
39.625000,0.000000,0.000000,0.000000,0.000000,0.000000
39.875000,0.000000,0.000000,0.000000,0.000000,0.000000
40.125000,0.000000,0.000000,0.000000,0.000000,0.000000
40.375000,0.000000,0.000000,0.000000,0.000000,0.000000
40.625000,0.000000,0.000000,0.000000,0.000000,0.000000
40.875000,0.000000,0.000000,0.000000,0.000000,0.000000
41.125000,0.000000,0.000000,0.000000,0.000000,0.000000
41.375000,0.000000,0.000000,0.000000,0.000000,0.000000
41.625000,0.000000,0.000000,0.000000,0.000000,0.000000
41.875000,0.000000,0.000000,0.000000,0.000000,0.000000
