frame,x_bz_first,n_bz,n_et
230,0.6666666666666666,16,8
231,0.7619047619047619,16,5
232,0.7894736842105263,15,4
233,0.8888888888888888,16,2
234,0.8095238095238095,17,4
235,0.8571428571428571,18,3
236,0.75,18,6
237,0.782608695652174,18,5
238,0.7391304347826086,17,6
239,0.76,19,6
240,0.8333333333333334,20,4
241,0.8260869565217391,19,4
242,0.8095238095238095,17,4
243,0.7083333333333334,17,7
244,0.6153846153846154,16,10
245,0.72,18,7
246,0.72,18,7
247,0.64,16,9
248,0.6153846153846154,16,10
249,0.5925925925925926,16,11
250,0.6,15,10
251,0.64,16,9
252,0.5833333333333334,14,10
253,0.64,16,9
254,0.625,15,9
255,0.6538461538461539,17,9
256,0.6666666666666666,18,9
257,0.6666666666666666,16,8
258,0.6521739130434783,15,8
259,0.6538461538461539,17,9
260,0.6363636363636364,14,8
261,0.6666666666666666,18,9
262,0.6,15,10
263,0.6538461538461539,17,9
264,0.6666666666666666,20,10
265,0.6153846153846154,16,10
266,0.6538461538461539,17,9
267,0.64,16,9
268,0.64,16,9
269,0.64,16,9
270,0.6666666666666666,18,9
271,0.6666666666666666,18,9
272,0.7727272727272727,17,5
273,0.72,18,7
274,0.6206896551724138,18,11
275,0.6071428571428571,17,11
276,0.6428571428571429,18,10
277,0.625,15,9
278,0.6538461538461539,17,9
279,0.6153846153846154,16,10
280,0.64,16,9
281,0.6923076923076923,18,8
282,0.6,15,10
283,0.625,15,9
284,0.68,17,8
285,0.625,15,9
286,0.6153846153846154,16,10
287,0.5769230769230769,15,11
288,0.56,14,11
289,0.5769230769230769,15,11
290,0.6153846153846154,16,10
291,0.625,15,9
292,0.6538461538461539,17,9
293,0.6521739130434783,15,8
294,0.6521739130434783,15,8
295,0.72,18,7
296,0.6086956521739131,14,9
297,0.6521739130434783,15,8
298,0.5833333333333334,14,10
299,0.5769230769230769,15,11
300,0.5769230769230769,15,11
301,0.625,15,9
302,0.6521739130434783,15,8
303,0.625,15,9
304,0.6666666666666666,18,9
305,0.625,15,9
306,0.6,15,10
307,0.5416666666666666,13,11
308,0.5185185185185185,14,13
309,0.5769230769230769,15,11
310,0.5185185185185185,14,13
311,0.5862068965517241,17,12
312,0.5384615384615384,14,12
313,0.5714285714285714,16,12
314,0.5555555555555556,15,12
315,0.6153846153846154,16,10
316,0.6428571428571429,18,10
317,0.68,17,8
318,0.625,15,9
319,0.5833333333333334,14,10
320,0.48,12,13
321,0.52,13,12
322,0.5,13,13
323,0.5185185185185185,14,13
324,0.48,12,13
325,0.5384615384615384,14,12
326,0.6086956521739131,14,9
327,0.6,15,10
328,0.5925925925925926,16,11
329,0.56,14,11
330,0.6086956521739131,14,9
331,0.625,15,9
332,0.6666666666666666,16,8
333,0.6363636363636364,14,8
334,0.5416666666666666,13,11
335,0.6363636363636364,14,8
336,0.5833333333333334,14,10
337,0.5416666666666666,13,11
338,0.5416666666666666,13,11
339,0.5769230769230769,15,11
340,0.6,15,10
341,0.5384615384615384,14,12
342,0.5,12,12
343,0.52,13,12
344,0.5384615384615384,14,12
345,0.5416666666666666,13,11
346,0.5,11,11
347,0.5238095238095238,11,10
348,0.4782608695652174,11,12
349,0.5454545454545454,12,10
350,0.5,11,11
351,0.5217391304347826,12,11
352,0.5454545454545454,12,10
353,0.5217391304347826,12,11
354,0.4782608695652174,11,12
355,0.4782608695652174,11,12
356,0.44,11,14
357,0.5,12,12
358,0.5384615384615384,14,12
359,0.5416666666666666,13,11
360,0.5416666666666666,13,11
361,0.5217391304347826,12,11
362,0.5217391304347826,12,11
363,0.5714285714285714,12,9
364,0.45454545454545453,10,12
365,0.4782608695652174,11,12
366,0.5217391304347826,12,11
367,0.5714285714285714,12,9
368,0.65,13,7
369,0.5652173913043478,13,10
370,0.5652173913043478,13,10
371,0.5416666666666666,13,11
372,0.5833333333333334,14,10
373,0.5416666666666666,13,11
374,0.6,12,8
375,0.5454545454545454,12,10
376,0.5454545454545454,12,10
377,0.6190476190476191,13,8
378,0.5909090909090909,13,9
379,0.5909090909090909,13,9
380,0.64,16,9
381,0.5652173913043478,13,10
382,0.6086956521739131,14,9
383,0.5454545454545454,12,10
384,0.5,11,11
385,0.5384615384615384,14,12
386,0.5714285714285714,16,12
387,0.6071428571428571,17,11
388,0.5714285714285714,16,12
389,0.5769230769230769,15,11
390,0.56,14,11
391,0.56,14,11
392,0.6206896551724138,18,11
393,0.5185185185185185,14,13
394,0.52,13,12
395,0.5333333333333333,16,14
396,0.5517241379310345,16,13
397,0.5357142857142857,15,13
398,0.5185185185185185,14,13
399,0.5,13,13
400,0.5,13,13
401,0.4583333333333333,11,13
402,0.44,11,14
403,0.5,13,13
404,0.46153846153846156,12,14
405,0.4642857142857143,13,15
406,0.4666666666666667,14,16
407,0.4642857142857143,13,15
408,0.4642857142857143,13,15
409,0.48,12,13
410,0.5185185185185185,14,13
411,0.5,13,13
412,0.5555555555555556,15,12
413,0.5357142857142857,15,13
414,0.52,13,12
415,0.52,13,12
416,0.5925925925925926,16,11
417,0.5769230769230769,15,11
418,0.5833333333333334,14,10
419,0.5172413793103449,15,14
420,0.5185185185185185,14,13
421,0.5185185185185185,14,13
422,0.5416666666666666,13,11
423,0.5416666666666666,13,11
424,0.5833333333333334,14,10
425,0.5217391304347826,12,11
426,0.52,13,12
427,0.52,13,12
428,0.5,13,13
429,0.5,13,13
430,0.5,13,13
431,0.56,14,11
432,0.48,12,13
433,0.5185185185185185,14,13
434,0.56,14,11
435,0.52,13,12
436,0.5,12,12
437,0.44,11,14
438,0.4583333333333333,11,13
439,0.4782608695652174,11,12
440,0.5,12,12
441,0.5172413793103449,15,14
442,0.48,12,13
443,0.42857142857142855,12,16
444,0.4230769230769231,11,15
445,0.5172413793103449,15,14
446,0.48148148148148145,13,14
447,0.3870967741935484,12,19
448,0.46153846153846156,12,14
449,0.4642857142857143,13,15
450,0.4642857142857143,13,15
451,0.52,13,12
452,0.52,13,12
453,0.5,13,13
454,0.48148148148148145,13,14
455,0.46153846153846156,12,14
456,0.5,13,13
457,0.4838709677419355,15,16
458,0.4444444444444444,12,15
459,0.48148148148148145,13,14
460,0.5,13,13
461,0.4838709677419355,15,16
462,0.43333333333333335,13,17
463,0.4827586206896552,14,15
464,0.52,13,12
465,0.4482758620689655,13,16
466,0.56,14,11
467,0.5833333333333334,14,10
468,0.5384615384615384,14,12
469,0.5833333333333334,14,10
470,0.5555555555555556,15,12
471,0.5925925925925926,16,11
472,0.5714285714285714,16,12
473,0.6153846153846154,16,10
474,0.6,15,10
475,0.5925925925925926,16,11
476,0.5357142857142857,15,13
477,0.56,14,11
478,0.48148148148148145,13,14
479,0.4444444444444444,12,15
480,0.5384615384615384,14,12
481,0.5217391304347826,12,11
482,0.5416666666666666,13,11
483,0.52,13,12
484,0.5833333333333334,14,10
485,0.52,13,12
486,0.5769230769230769,15,11
487,0.6,15,10
488,0.5833333333333334,14,10
489,0.5,11,11
490,0.56,14,11
491,0.5769230769230769,15,11
492,0.5185185185185185,14,13
493,0.5416666666666666,13,11
494,0.6086956521739131,14,9
495,0.6086956521739131,14,9
496,0.625,15,9
497,0.6363636363636364,14,8
498,0.6086956521739131,14,9
499,0.6086956521739131,14,9
500,0.46153846153846156,12,14
501,0.4642857142857143,13,15
502,0.5909090909090909,13,9
503,0.6086956521739131,14,9
504,0.5555555555555556,15,12
505,0.5185185185185185,14,13
506,0.52,13,12
507,0.5384615384615384,14,12
508,0.5,11,11
509,0.4444444444444444,12,15
510,0.5,14,14
511,0.5,13,13
512,0.4230769230769231,11,15
513,0.4583333333333333,11,13
514,0.48148148148148145,13,14
515,0.48,12,13
516,0.43478260869565216,10,13
517,0.4230769230769231,11,15
518,0.5,13,13
519,0.48,12,13
520,0.46153846153846156,12,14
521,0.5384615384615384,14,12
522,0.5416666666666666,13,11
523,0.4782608695652174,11,12
524,0.46153846153846156,12,14
525,0.5833333333333334,14,10
526,0.5172413793103449,15,14
527,0.5,13,13
528,0.5384615384615384,14,12
529,0.4583333333333333,11,13
530,0.4583333333333333,11,13
531,0.4782608695652174,11,12
532,0.52,13,12
533,0.46153846153846156,12,14
534,0.46153846153846156,12,14
535,0.4444444444444444,12,15
536,0.375,9,15
537,0.32142857142857145,9,19
538,0.35714285714285715,10,18
539,0.4482758620689655,13,16
540,0.4074074074074074,11,16
541,0.4482758620689655,13,16
542,0.4444444444444444,12,15
543,0.39285714285714285,11,17
544,0.36,9,16
545,0.36,9,16
546,0.36,9,16
547,0.39285714285714285,11,17
548,0.4583333333333333,11,13
549,0.391304347826087,9,14
550,0.38461538461538464,10,16
551,0.48,12,13
552,0.45454545454545453,10,12
553,0.5,11,11
554,0.47619047619047616,10,11
555,0.4166666666666667,10,14
556,0.4782608695652174,11,12
557,0.3333333333333333,10,20
558,0.3448275862068966,10,19
559,0.3076923076923077,8,18
560,0.2692307692307692,7,19
561,0.3103448275862069,9,20
562,0.24,6,19
563,0.36,9,16
564,0.3181818181818182,7,15
565,0.36,9,16
566,0.3333333333333333,8,16
567,0.3333333333333333,9,18
568,0.32142857142857145,9,19
569,0.2857142857142857,8,20
570,0.34615384615384615,9,17
571,0.3793103448275862,11,18
572,0.3793103448275862,11,18
573,0.37037037037037035,10,17
574,0.39285714285714285,11,17
575,0.3793103448275862,11,18
576,0.4074074074074074,11,16
577,0.36666666666666664,11,19
578,0.3225806451612903,10,21
579,0.36666666666666664,11,19
580,0.32142857142857145,9,19
581,0.32142857142857145,9,19
582,0.32142857142857145,9,19
583,0.3448275862068966,10,19
584,0.3103448275862069,9,20
585,0.3103448275862069,9,20
586,0.3103448275862069,9,20
587,0.3793103448275862,11,18
588,0.32142857142857145,9,19
589,0.3103448275862069,9,20
590,0.26666666666666666,8,22
591,0.2903225806451613,9,22
592,0.3448275862068966,10,19
593,0.3333333333333333,9,18
594,0.3548387096774194,11,20
595,0.36666666666666664,11,19
596,0.3,9,21
597,0.36666666666666664,11,19
598,0.34375,11,21
599,0.39285714285714285,11,17
600,0.39285714285714285,11,17
601,0.4090909090909091,9,13
602,0.3333333333333333,9,18
603,0.32142857142857145,9,19
604,0.38461538461538464,10,16
605,0.35714285714285715,10,18
606,0.35714285714285715,10,18
607,0.3793103448275862,11,18
608,0.3793103448275862,11,18
609,0.3793103448275862,11,18
610,0.4,12,18
611,0.46153846153846156,12,14
612,0.43333333333333335,13,17
613,0.4230769230769231,11,15
614,0.4230769230769231,11,15
615,0.4482758620689655,13,16
616,0.5,14,14
617,0.4230769230769231,11,15
618,0.48,12,13
619,0.46153846153846156,12,14
620,0.48148148148148145,13,14
621,0.36,9,16
622,0.34615384615384615,9,17
623,0.4444444444444444,12,15
624,0.4074074074074074,11,16
625,0.39285714285714285,11,17
626,0.46153846153846156,12,14
627,0.4444444444444444,12,15
628,0.4583333333333333,11,13
629,0.4642857142857143,13,15
630,0.48,12,13
631,0.4444444444444444,12,15
632,0.5,13,13
633,0.5,13,13
634,0.46153846153846156,12,14
635,0.46153846153846156,12,14
636,0.34615384615384615,9,17
637,0.3333333333333333,9,18
638,0.3333333333333333,8,16
639,0.4074074074074074,11,16
640,0.4230769230769231,11,15
641,0.44,11,14
642,0.48148148148148145,13,14
643,0.4666666666666667,14,16
644,0.5,14,14
645,0.625,15,9
646,0.5185185185185185,14,13
647,0.48,12,13
648,0.5217391304347826,12,11
649,0.5,13,13
650,0.5833333333333334,14,10
651,0.5925925925925926,16,11
652,0.5714285714285714,16,12
653,0.5925925925925926,16,11
654,0.5357142857142857,15,13
655,0.5769230769230769,15,11
656,0.6296296296296297,17,10
657,0.5666666666666667,17,13
658,0.6666666666666666,18,9
659,0.64,16,9
660,0.5714285714285714,16,12
661,0.6956521739130435,16,7
662,0.6923076923076923,18,8
663,0.7391304347826086,17,6
664,0.6153846153846154,16,10
665,0.5769230769230769,15,11
666,0.5925925925925926,16,11
667,0.5769230769230769,15,11
668,0.6296296296296297,17,10
669,0.6153846153846154,16,10
670,0.6,15,10
671,0.5925925925925926,16,11
672,0.6666666666666666,18,9
673,0.6296296296296297,17,10
674,0.6153846153846154,16,10
675,0.5769230769230769,15,11
676,0.5517241379310345,16,13
677,0.56,14,11
678,0.625,15,9
679,0.6363636363636364,14,8
680,0.625,15,9
681,0.5384615384615384,14,12
682,0.5454545454545454,12,10
683,0.46153846153846156,12,14
684,0.5416666666666666,13,11
685,0.6363636363636364,14,8
686,0.6666666666666666,16,8
687,0.64,16,9
688,0.7083333333333334,17,7
689,0.6818181818181818,15,7
690,0.7391304347826086,17,6
691,0.7391304347826086,17,6
692,0.6521739130434783,15,8
693,0.6666666666666666,16,8
694,0.5925925925925926,16,11
695,0.5714285714285714,16,12
696,0.5555555555555556,15,12
697,0.6086956521739131,14,9
698,0.5652173913043478,13,10
699,0.5652173913043478,13,10
700,0.6521739130434783,15,8
701,0.6,15,10
702,0.56,14,11
703,0.5517241379310345,16,13
704,0.5185185185185185,14,13
705,0.5652173913043478,13,10
706,0.5769230769230769,15,11
707,0.6363636363636364,14,8
708,0.6363636363636364,14,8
709,0.6086956521739131,14,9
710,0.5416666666666666,13,11
711,0.5652173913043478,13,10
712,0.56,14,11
713,0.56,14,11
714,0.5833333333333334,14,10
715,0.5925925925925926,16,11
716,0.52,13,12
717,0.56,14,11
718,0.5833333333333334,14,10
719,0.5416666666666666,13,11
720,0.5416666666666666,13,11
721,0.5454545454545454,12,10
722,0.5416666666666666,13,11
723,0.5416666666666666,13,11
724,0.5769230769230769,15,11
725,0.6153846153846154,16,10
726,0.64,16,9
727,0.64,16,9
728,0.6521739130434783,15,8
729,0.6521739130434783,15,8
730,0.6818181818181818,15,7
731,0.6818181818181818,15,7
732,0.6086956521739131,14,9
733,0.5909090909090909,13,9
734,0.6086956521739131,14,9
735,0.6086956521739131,14,9
736,0.625,15,9
737,0.6538461538461539,17,9
738,0.6666666666666666,16,8
739,0.6666666666666666,16,8
740,0.6923076923076923,18,8
741,0.6521739130434783,15,8
742,0.6521739130434783,15,8
743,0.6538461538461539,17,9
744,0.64,16,9
745,0.6521739130434783,15,8
746,0.68,17,8
747,0.6363636363636364,14,8
748,0.64,16,9
749,0.625,15,9
750,0.68,17,8
751,0.6956521739130435,16,7
752,0.7142857142857143,15,6
753,0.72,18,7
754,0.68,17,8
755,0.75,18,6
756,0.7391304347826086,17,6
757,0.75,18,6
758,0.75,18,6
759,0.6818181818181818,15,7
760,0.7083333333333334,17,7
761,0.6956521739130435,16,7
762,0.6521739130434783,15,8
763,0.6666666666666666,16,8
764,0.6521739130434783,15,8
765,0.625,15,9
766,0.5714285714285714,12,9
767,0.6071428571428571,17,11
768,0.5384615384615384,14,12
769,0.5384615384615384,14,12
770,0.56,14,11
771,0.5925925925925926,16,11
772,0.6,15,10
773,0.6153846153846154,16,10
774,0.5384615384615384,14,12
775,0.5384615384615384,14,12
776,0.56,14,11
777,0.5555555555555556,15,12
778,0.6153846153846154,16,10
779,0.6206896551724138,18,11
780,0.5172413793103449,15,14
781,0.5333333333333333,16,14
782,0.6071428571428571,17,11
783,0.6071428571428571,17,11
784,0.6,15,10
785,0.6296296296296297,17,10
786,0.68,17,8
787,0.6,15,10
788,0.6296296296296297,17,10
789,0.6,15,10
790,0.6,15,10
791,0.6666666666666666,16,8
792,0.6818181818181818,15,7
793,0.6153846153846154,16,10
794,0.6666666666666666,16,8
795,0.5652173913043478,13,10
796,0.6086956521739131,14,9
797,0.6666666666666666,16,8
798,0.6666666666666666,16,8
799,0.7391304347826086,17,6
800,0.6666666666666666,14,7
801,0.72,18,7
802,0.72,18,7
803,0.7391304347826086,17,6
804,0.6956521739130435,16,7
805,0.7272727272727273,16,6
806,0.7083333333333334,17,7
807,0.75,15,5
808,0.782608695652174,18,5
809,0.7272727272727273,16,6
810,0.6666666666666666,14,7
811,0.7142857142857143,15,6
812,0.7272727272727273,16,6
813,0.6818181818181818,15,7
814,0.7272727272727273,16,6
815,0.7272727272727273,16,6
816,0.7407407407407407,20,7
817,0.7142857142857143,20,8
818,0.782608695652174,18,5
819,0.76,19,6
820,0.7083333333333334,17,7
821,0.7307692307692307,19,7
822,0.68,17,8
823,0.7037037037037037,19,8
824,0.72,18,7
825,0.8421052631578947,16,3
826,0.6666666666666666,14,7
827,0.7142857142857143,15,6
828,0.7727272727272727,17,5
829,0.7727272727272727,17,5
830,0.8095238095238095,17,4
831,0.8636363636363636,19,3
832,0.84,21,4
833,0.7916666666666666,19,5
834,0.75,18,6
835,0.6551724137931034,19,10
836,0.6666666666666666,18,9
837,0.782608695652174,18,5
838,0.6923076923076923,18,8
839,0.7727272727272727,17,5
840,0.7083333333333334,17,7
841,0.8181818181818182,18,4
842,0.7727272727272727,17,5
843,0.7916666666666666,19,5
844,0.76,19,6
845,0.7272727272727273,16,6
846,0.75,18,6
847,0.7142857142857143,15,6
848,0.7272727272727273,16,6
849,0.7727272727272727,17,5
850,0.7916666666666666,19,5
851,0.76,19,6
852,0.72,18,7
853,0.72,18,7
854,0.6923076923076923,18,8
855,0.68,17,8
856,0.72,18,7
857,0.7407407407407407,20,7
858,0.7391304347826086,17,6
859,0.7083333333333334,17,7
860,0.75,18,6
861,0.7083333333333334,17,7
862,0.782608695652174,18,5
863,0.782608695652174,18,5
864,0.782608695652174,18,5
865,0.7727272727272727,17,5
866,0.7727272727272727,17,5
867,0.782608695652174,18,5
868,0.8,20,5
869,0.782608695652174,18,5
870,0.75,18,6
871,0.7391304347826086,17,6
872,0.6956521739130435,16,7
873,0.7083333333333334,17,7
874,0.7777777777777778,21,6
875,0.8076923076923077,21,5
876,0.782608695652174,18,5
877,0.8636363636363636,19,3
878,0.72,18,7
879,0.7391304347826086,17,6
880,0.8260869565217391,19,4
881,0.8571428571428571,18,3
882,0.75,18,6
883,0.75,18,6
884,0.782608695652174,18,5
885,0.85,17,3
886,0.8260869565217391,19,4
887,0.75,18,6
888,0.7391304347826086,17,6
889,0.7727272727272727,17,5
890,0.7083333333333334,17,7
891,0.75,18,6
892,0.6923076923076923,18,8
893,0.7083333333333334,17,7
894,0.7272727272727273,16,6
895,0.6521739130434783,15,8
896,0.6521739130434783,15,8
897,0.6521739130434783,15,8
898,0.7083333333333334,17,7
899,0.68,17,8
900,0.6666666666666666,18,9
901,0.7083333333333334,17,7
902,0.68,17,8
903,0.68,17,8
904,0.68,17,8
905,0.68,17,8
906,0.7083333333333334,17,7
907,0.68,17,8
908,0.65,13,7
909,0.6521739130434783,15,8
910,0.6666666666666666,16,8
911,0.6666666666666666,18,9
912,0.6153846153846154,16,10
913,0.6071428571428571,17,11
914,0.64,16,9
915,0.68,17,8
916,0.6818181818181818,15,7
917,0.6842105263157895,13,6
918,0.6,15,10
919,0.7083333333333334,17,7
920,0.7083333333333334,17,7
921,0.6538461538461539,17,9
922,0.6923076923076923,18,8
923,0.7407407407407407,20,7
924,0.7307692307692307,19,7
925,0.7391304347826086,17,6
926,0.782608695652174,18,5
927,0.7727272727272727,17,5
928,0.8181818181818182,18,4
929,0.782608695652174,18,5
930,0.8636363636363636,19,3
931,0.8181818181818182,18,4
932,0.8181818181818182,18,4
933,0.782608695652174,18,5
934,0.75,18,6
935,0.7391304347826086,17,6
936,0.7142857142857143,15,6
937,0.7619047619047619,16,5
938,0.9047619047619048,19,2
939,0.8260869565217391,19,4
940,0.85,17,3
941,0.8,16,4
942,0.7727272727272727,17,5
943,0.8421052631578947,16,3
944,0.8181818181818182,18,4
945,0.76,19,6
946,0.7857142857142857,22,6
947,0.8461538461538461,22,4
948,0.8260869565217391,19,4
949,0.8,20,5
950,0.7916666666666666,19,5
951,0.8571428571428571,18,3
952,0.8260869565217391,19,4
953,0.8695652173913043,20,3
954,0.8636363636363636,19,3
955,0.875,21,3
956,0.875,21,3
957,0.875,21,3
958,0.8636363636363636,19,3
959,0.8571428571428571,18,3
960,0.8095238095238095,17,4
961,0.85,17,3
962,0.8636363636363636,19,3
963,0.9,18,2
964,0.9047619047619048,19,2
965,0.9047619047619048,19,2
966,0.9,18,2
967,0.9,18,2
968,0.84,21,4
969,0.8181818181818182,18,4
970,0.9047619047619048,19,2
971,0.9047619047619048,19,2
972,0.9130434782608695,21,2
973,0.9090909090909091,20,2
974,0.9130434782608695,21,2
975,0.875,21,3
976,0.9090909090909091,20,2
977,0.9047619047619048,19,2
978,0.9047619047619048,19,2
979,0.9047619047619048,19,2
980,0.9090909090909091,20,2
981,0.85,17,3
982,0.9,18,2
983,0.9047619047619048,19,2
984,0.875,21,3
985,0.7391304347826086,17,6
986,0.8,16,4
987,0.7619047619047619,16,5
988,0.782608695652174,18,5
989,0.8,16,4
990,0.7307692307692307,19,7
991,0.76,19,6
992,0.8333333333333334,20,4
993,0.8571428571428571,18,3
994,0.8636363636363636,19,3
995,0.8695652173913043,20,3
996,0.8333333333333334,20,4
997,0.8181818181818182,18,4
998,0.7619047619047619,16,5
999,0.8421052631578947,16,3
1000,0.8421052631578947,16,3
1001,0.8333333333333334,20,4
1002,0.8571428571428571,18,3
1003,0.8636363636363636,19,3
1004,0.9523809523809523,20,1
1005,0.8181818181818182,18,4
1006,0.8636363636363636,19,3
1007,0.8181818181818182,18,4
1008,0.8636363636363636,19,3
1009,0.8571428571428571,18,3
1010,0.8571428571428571,18,3
1011,0.7727272727272727,17,5
1012,0.8095238095238095,17,4
1013,0.75,15,5
1014,0.7142857142857143,15,6
1015,0.6956521739130435,16,7
1016,0.7272727272727273,16,6
